checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
A11,6,A34,A43,1169.0,A65,A75,4.0,A93,A101,4.0,A121,67.0,A143,A152,2.0,A173,1,A192,A201,1
A12,48,A32,A43,5951.0,A61,A73,2.0,A92,A101,2.0,A121,22.0,A143,A152,1.0,A173,1,A191,A201,2
A14,12,A34,A46,2096.0,A61,A74,2.0,A93,A101,3.0,A121,49.0,A143,A152,1.0,A172,2,A191,A201,1
A11,42,A32,A42,7882.0,A61,A74,2.0,A93,A103,4.0,A122,45.0,A143,A153,1.0,A173,2,A191,A201,1
A11,24,A33,A40,4870.0,A61,A73,3.0,A93,A101,4.0,A124,53.0,A143,A153,2.0,A173,2,A191,A201,2
A14,36,A32,A46,9055.0,A65,A73,2.0,A93,A101,4.0,A124,35.0,A143,A153,1.0,A172,2,A192,A201,1
A14,24,A32,A42,2835.0,A63,A75,3.0,A93,A101,4.0,A122,53.0,A143,A152,1.0,A173,1,A191,A201,1
A12,36,A32,A41,6948.0,A61,A73,2.0,A93,A101,2.0,A123,35.0,A143,A151,1.0,A174,1,A192,A201,1
A14,12,A32,A43,3059.0,A64,A74,2.0,A91,A101,4.0,A121,61.0,A143,A152,1.0,A172,1,A191,A201,1
A12,30,A34,A40,5234.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1,A191,A201,2
A12,12,A32,A40,1295.0,A61,A72,3.0,A92,A101,1.0,A123,25.0,A143,A151,1.0,A173,1,A191,A201,2
A11,48,A32,A49,4308.0,A61,A72,3.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A173,1,A191,A201,2
A12,12,A32,A43,1567.0,A61,A73,1.0,A92,A101,1.0,A123,22.0,A143,A152,1.0,A173,1,A192,A201,1
A11,24,A34,A40,1199.0,A61,A75,4.0,A93,A101,4.0,A123,60.0,A143,A152,2.0,A172,1,A191,A201,2
A11,15,A32,A40,1403.0,A61,A73,2.0,A92,A101,4.0,A123,28.0,A143,A151,1.0,A173,1,A191,A201,1
A11,24,A32,A43,1282.0,A62,A73,4.0,A92,A101,2.0,A123,32.0,A143,A152,1.0,A172,1,A191,A201,2
A14,24,A34,A43,2424.0,A65,A75,4.0,A93,A101,4.0,A122,53.0,A143,A152,2.0,A173,1,A191,A201,1
A11,30,A30,A49,8072.0,A65,A72,2.0,A93,A101,3.0,A123,25.0,A141,A152,3.0,A173,1,A191,A201,1
A12,24,A32,A41,12579.0,A61,A75,4.0,A92,A101,2.0,A124,44.0,A143,A153,1.0,A174,1,A192,A201,2
A14,24,A32,A43,3430.0,A63,A75,3.0,A93,A101,2.0,A123,31.0,A143,A152,1.0,A173,2,A192,A201,1
A14,9,A34,A40,2134.0,A61,A73,4.0,A93,A101,4.0,A123,48.0,A143,A152,3.0,A173,1,A192,A201,1
A11,6,A32,A43,2647.0,A63,A73,2.0,A93,A101,3.0,A121,44.0,A143,A151,1.0,A173,2,A191,A201,1
A11,10,A34,A40,2241.0,A61,A72,1.0,A93,A101,3.0,A121,48.0,A143,A151,2.0,A172,2,A191,A202,1
A12,12,A34,A41,1804.0,A62,A72,3.0,A93,A101,4.0,A122,44.0,A143,A152,1.0,A173,1,A191,A201,1
A14,10,A34,A42,2069.0,A65,A73,2.0,A94,A101,1.0,A123,26.0,A143,A152,2.0,A173,1,A191,A202,1
A11,6,A32,A42,1374.0,A61,A73,1.0,A93,A101,2.0,A121,36.0,A141,A152,1.0,A172,1,A192,A201,1
A14,6,A30,A43,426.0,A61,A75,4.0,A94,A101,4.0,A123,39.0,A143,A152,1.0,A172,1,A191,A201,1
A13,12,A31,A43,409.0,A64,A73,3.0,A92,A101,3.0,A121,42.0,A143,A151,2.0,A173,1,A191,A201,1
A12,7,A32,A43,2415.0,A61,A73,3.0,A93,A103,2.0,A121,34.0,A143,A152,1.0,A173,1,A191,A201,1
A11,60,A33,A49,6836.0,A61,A75,3.0,A93,A101,4.0,A124,63.0,A143,A152,2.0,A173,1,A192,A201,2
A12,18,A32,A49,1913.0,A64,A72,3.0,A94,A101,3.0,A121,36.0,A141,A152,1.0,A173,1,A192,A201,1
A11,24,A32,A42,4020.0,A61,A73,2.0,A93,A101,2.0,A123,27.0,A142,A152,1.0,A173,1,A191,A201,1
A12,18,A32,A40,5866.0,A62,A73,2.0,A93,A101,2.0,A123,30.0,A143,A152,2.0,A173,1,A192,A201,1
A14,12,A34,A49,1264.0,A65,A75,4.0,A93,A101,4.0,A124,57.0,A143,A151,1.0,A172,1,A191,A201,1
A13,12,A32,A42,1474.0,A61,A72,4.0,A92,A101,1.0,A122,33.0,A141,A152,1.0,A174,1,A192,A201,1
A12,45,A34,A43,4746.0,A61,A72,4.0,A93,A101,2.0,A122,25.0,A143,A152,2.0,A172,1,A191,A201,2
